c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
bz_config_ok,bzlib.c,91,() -> int,bz_config_ok,bz_config_ok,CLAIMED,yes,No_Fix_Compile_Success,bz_config_ok,bz_config_ok,0.296,-0.145,ABSTAIN,unanimous,bz_config_ok,"IMPL: C bzlib.c:91 -> Rust src/bzlib.rs:60. Body: size_of::<i32>() != 4 / i16 != 2 / i8 != 1 -> return 0, else 1 = sizeof(int)/short/char checks. same_name confirmed."
default_bzalloc,bzlib.c,102,"(opaque: void *, items: Int32, size: Int32) -> void *",default_bzalloc,default_bzalloc,CLAIMED,yes,No_Fix_Compile_Success,default_bzalloc,BZ2_bzDecompressInit,0.374,-0.064,ABSTAIN,CONFLICT,default_bzalloc,"IMPL: C bzlib.c:102 -> Rust src/bzlib.rs:150. `malloc(items * size)` rendered as checked_mul + Layout::from_size_align(total,1) + alloc(); opaque unused as in C; returns Option<Box<[u8]>> (None on failure = NULL). Rejected matcher_forced=BZ2_bzDecompressInit [bzlib.rs:228]: a `return 0` stub with (strm, verbosity, small) params, no allocation."
default_bzfree,bzlib.c,109,"(opaque: void *, addr: void *) -> void",,,ELIDED,,Free_Function,,BZ2_compressBlock,0.25,-0.191,ABSTAIN,tool-says-elided,NONE,"ELIDED: C bzlib.c:109 (`if (addr != NULL) free(addr)`). No Rust fn in the inventory or crate frees memory: grepped src/ for free(/dealloc/drop/bzfree — only default_bzalloc exists. Rejected matcher_forced=BZ2_compressBlock [compress.rs:58]: no-op stub whose doc names `void BZ2_compressBlock ( EState* s, Bool is_last_block )`."
prepare_new_block,bzlib.c,117,(s: EState *) -> void,prepare_new_block,prepare_new_block,CLAIMED,yes,Fixed_5_Compile_Failed,prepare_new_block,isempty_RL,0.092,-0.321,ABSTAIN,CONFLICT,STUB:prepare_new_block,STUB: C bzlib.c:117 -> Rust src/bzlib.rs:204. Body `// Default stub: no-op`; signature (s: EState) matches. Searched for nblock = 0/numZ/state_out_pos/inUse/blockNo: nothing in crate. Rejected matcher_forced=isempty_RL [bzlib.rs:212]: `false` stub whose doc quotes `static Bool isempty_RL ( EState* s )`.
init_RL,bzlib.c,131,(s: EState *) -> void,init_RL,init_RL,CLAIMED,yes,Fixed_5_Compile_Failed,init_RL,makeMaps_e,0.144,-0.387,ABSTAIN,CONFLICT,STUB:init_RL,STUB: C bzlib.c:131 -> Rust src/bzlib.rs:207. Body `// default stub: no-op`. Searched for state_in_ch/256/state_in_len: nothing. Rejected matcher_forced=makeMaps_e [compress.rs:29]: no-op stub declared for compress.c makeMaps_e.
isempty_RL,bzlib.c,139,(s: EState *) -> Bool,isempty_RL,isempty_RL,CLAIMED,yes,Fixed_5_Compile_Failed,isempty_RL,un_rle_obuf_to_output_fast,0.097,-0.312,ABSTAIN,CONFLICT,STUB:isempty_RL,"STUB: C bzlib.c:139 -> Rust src/bzlib.rs:212. Body is constant `false`; doc quotes `static Bool isempty_RL ( EState* s )`. Rejected matcher_forced=un_rle_obuf_to_output_fast [bzlib.rs:225]: stub declared (doc) for unRLE_obuf_to_output_FAST, takes DState."
BZ2_bzCompressInit,bzlib.c,148,"(strm: bz_stream *, blockSize100k: int, verbosity: int, workFactor: int) -> int",BZ2_bzCompressInit,BZ2_bzCompressInit,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzCompressInit,bz2_bz_read_get_unused,0.118,-0.28,ABSTAIN,CONFLICT,STUB:BZ2_bzCompressInit,"STUB: C bzlib.c:148 -> Rust src/bzlib.rs:258. Body `0`; doc says `Stub for: int BZ2_bzCompressInit ( bz_stream* strm, int blockSize100k, int verbosity, int workFactor )`; params match. Searched for bz_config_ok()/default_bzalloc call sites, BZ_CONFIG_ERROR, 100000, arr1/arr2/ftab allocation: none. Rejected matcher_forced=bz2_bz_read_get_unused [bzlib.rs:231]: no-op stub with (bzerror, b, unused, n_unused)."
add_pair_to_block,bzlib.c,216,(s: EState *) -> void,add_pair_to_block,add_pair_to_block,CLAIMED,yes,Fixed_5_Compile_Failed,add_pair_to_block,,,,NONE,single-source,STUB:add_pair_to_block,"STUB: C bzlib.c:216 -> Rust src/bzlib.rs:218. Body `// Default stub: no-op`; signature matches. Searched for BZ_UPDATE_CRC/blockCRC/state_in_len switch (1,2,3,default) run-length emission: nothing."
flush_RL,bzlib.c,252,(s: EState *) -> void,flush_RL,flush_RL,CLAIMED,yes,Fixed_5_Compile_Failed,flush_RL,BZ2_bzWriteClose64,0.134,-0.259,ABSTAIN,CONFLICT,STUB:flush_RL,STUB: C bzlib.c:252 -> Rust src/bzlib.rs:267. Body no-op; signature matches. Rejected matcher_forced=BZ2_bzWriteClose64 [bzlib.rs:419]: no-op stub whose doc quotes the C BZ2_bzWriteClose64 7-param signature.
copy_input_until_stop,bzlib.c,289,(s: EState *) -> Bool,copy_input_until_stop,copy_input_until_stop,CLAIMED,yes,Fixed_5_Compile_Failed,copy_input_until_stop,handle_compress,0.061,-0.349,ABSTAIN,CONFLICT,STUB:copy_input_until_stop,"STUB: C bzlib.c:289 -> Rust src/bzlib.rs:272. Body constant `false`; doc quotes `static Bool copy_input_until_stop ( EState* s )`. Rejected matcher_forced=handle_compress [bzlib.rs:371]: `false` stub whose doc quotes `static Bool handle_compress ( bz_stream* strm )`, takes bz_stream not EState. Searched for ADD_CHAR_TO_BLOCK/avail_in/total_in_lo32: nothing."
copy_output_until_stop,bzlib.c,334,(s: EState *) -> Bool,copy_output_until_stop,copy_output_until_stop,CLAIMED,yes,Fixed_5_Compile_Failed,copy_output_until_stop,copy_output_until_stop,0.089,-0.323,ABSTAIN,unanimous,STUB:copy_output_until_stop,STUB: C bzlib.c:334 -> Rust src/bzlib.rs:215. Body constant `false`; signature matches. Searched for zbits/avail_out/total_out_lo32/state_out_pos: nothing.
handle_compress,bzlib.c,361,(strm: bz_stream *) -> Bool,handle_compress,handle_compress,CLAIMED,yes,Fixed_5_Compile_Failed,handle_compress,myfeof,0.059,-0.448,ABSTAIN,CONFLICT,STUB:handle_compress,"STUB: C bzlib.c:361 -> Rust src/bzlib.rs:371. Body constant `false`; doc quotes `static Bool handle_compress ( bz_stream* strm )`; param strm: bz_stream matches. Rejected matcher_forced=myfeof [bzlib.rs:249]: `0` stub, doc `static Bool myfeof ( FILE* f )`, takes File."
BZ2_bzCompress,bzlib.c,407,"(strm: bz_stream *, action: int) -> int",BZ2_bzCompress,BZ2_bzCompress,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzCompress,bsPutUInt32,0.098,-0.312,ABSTAIN,CONFLICT,STUB:BZ2_bzCompress,"STUB: C bzlib.c:407 -> Rust src/bzlib.rs:376. Body `0`; doc quotes `int BZ2_bzCompress ( bz_stream *strm, int action );`; params match. Searched for BZ_RUN/BZ_FLUSH/BZ_FINISH/BZ_M_RUNNING/BZ_SEQUENCE_ERROR: nothing. Rejected matcher_forced=bsPutUInt32 [compress.rs:33]: no-op stub declared for compress.c bsPutUInt32 (s, u)."
BZ2_bzCompressEnd,bzlib.c,468,(strm: bz_stream *) -> int,,,ELIDED,,Free_Function,,bz2_bz_decompress,0.068,-0.482,ABSTAIN,tool-says-elided,NONE,"ELIDED: C bzlib.c:468 (frees s->arr1/arr2/ftab, BZFREE(strm->state), strm->state = NULL, returns BZ_OK/BZ_PARAM_ERROR). No Rust fn in the crate references arr1/arr2/ftab-free, state = None, PARAM_ERROR, or any deallocation (grep of src/ found only the BZERRORSTRINGS table entry 'PARAM_ERROR'). Rejected matcher_forced=bz2_bz_decompress [bzlib.rs:310]: `0` stub whose doc says `Translated stub for BZ2_bzDecompress`, and is aliased `use crate::bz2_bz_decompress as BZ2_bzDecompress` at bzlib.rs:22."
BZ2_bzDecompressInit,bzlib.c,492,"(strm: bz_stream *, verbosity: int, small: int) -> int",BZ2_bzDecompressInit,BZ2_bzDecompressInit,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzDecompressInit,bz2_bzread,0.119,-0.279,ABSTAIN,CONFLICT,STUB:BZ2_bzDecompressInit,"STUB: C bzlib.c:492 -> Rust src/bzlib.rs:228. Body `0`; signature (strm, verbosity, small) matches C. Searched for BZ_X_MAGIC_1/tt/ll16/ll4/currBlockNo: nothing. Rejected matcher_forced=bz2_bzread [bzlib.rs:358]: `0` stub with (b, buf, len) = C BZ2_bzread."
unRLE_obuf_to_output_FAST,bzlib.c,536,(s: DState *) -> Bool,un_rle_obuf_to_output_fast,un_rle_obuf_to_output_fast,CLAIMED,yes,Fixed_5_Compile_Failed,,,,,NONE,single-source,STUB:un_rle_obuf_to_output_fast,"STUB: C bzlib.c:536 -> Rust src/bzlib.rs:225. Body constant `false`; doc says `Translated stub for unRLE_obuf_to_output_FAST from C`, param s: DState matches. Searched for BZ_GET_FAST/c_state_out_len/blockRandomised/BZ_RAND_UPD_MASK/nblock_used: nothing. tool_claim accepted as declared slot."
BZ2_indexIntoF,bzlib.c,687,"(indx: Int32, cftab: Int32 *) -> Int32",bz2_index_into_f,bz2_index_into_f,CLAIMED,yes,Fixed_5_Compile_Failed,,bz2_index_into_f,0.193,-0.241,ABSTAIN,single-source,STUB:bz2_index_into_f,"STUB: C bzlib.c:687 -> Rust src/bzlib.rs:201. Body constant `0` (C: binary search nb=0,na=256 over cftab). Signature (indx: i32, cftab: Option<&[i32; 257]>) matches the 257-entry cftab. No other fn does a binary search (searched `>> 1`, `na - nb`). tool_claim accepted as declared slot."
unRLE_obuf_to_output_SMALL,bzlib.c,706,(s: DState *) -> Bool,un_rle_obuf_to_output_small,un_rle_obuf_to_output_small,CLAIMED,yes,Fixed_5_Compile_Failed,,un_rle_obuf_to_output_small,0.056,-0.354,ABSTAIN,single-source,STUB:un_rle_obuf_to_output_small,STUB: C bzlib.c:706 -> Rust src/bzlib.rs:253. Body constant `false`; doc `Translated from static Bool unRLE_obuf_to_output_SMALL ( DState* s )`. Searched for BZ_GET_SMALL/bz2_index_into_f call sites: none. tool_claim accepted as declared slot.
BZ2_bzDecompress,bzlib.c,808,(strm: bz_stream *) -> int,bz2_bz_decompress,bz2_bz_decompress,CLAIMED,yes,Fixed_5_Compile_Failed,,bsFinishWrite,0.056,-0.457,ABSTAIN,CONFLICT,STUB:bz2_bz_decompress,"STUB: C bzlib.c:808 -> Rust src/bzlib.rs:310. Body `0`; doc `Translated stub for BZ2_bzDecompress from C`, param strm: bz_stream matches; also re-exported under the C name via `use crate::bz2_bz_decompress as BZ2_bzDecompress` (bzlib.rs:22) — an import alias, not a second function. Rejected matcher_forced=bsFinishWrite [compress.rs:22]: no-op stub for compress.c bsFinishWrite (s: EState). Note distinct from bz2_decompress [decompress.rs:6] which is the slot for decompress.c BZ2_decompress (takes DState)."
BZ2_bzDecompressEnd,bzlib.c,862,(strm: bz_stream *) -> int,,,ELIDED,,Free_Function,,bz2_decompress,0.068,-0.482,ABSTAIN,tool-says-elided,NONE,"ELIDED: C bzlib.c:862 (frees s->tt/ll16/ll4, BZFREE(strm->state), strm->state = NULL). Grepped src/ for tt/ll16/ll4/state = None/dealloc: nothing. Rejected matcher_forced=bz2_decompress [decompress.rs:6]: `0` stub with signature (s: Option<&mut DState>) -> i32 = decompress.c BZ2_decompress, not the bzlib.c End function."
myfeof,bzlib.c,906,(f: FILE *) -> Bool,myfeof,myfeof,CLAIMED,yes,Fixed_5_Compile_Failed,myfeof,copy_input_until_stop,0.088,-0.324,ABSTAIN,CONFLICT,STUB:myfeof,"STUB: C bzlib.c:906 -> Rust src/bzlib.rs:249. Body constant `0`; doc `Translated from: static Bool myfeof ( FILE* f )`; param f: Option<&File> matches. Searched for fgetc/ungetc/EOF: nothing. Rejected matcher_forced=copy_input_until_stop [bzlib.rs:272]: `false` stub declared (doc) for copy_input_until_stop, takes EState."
BZ2_bzWriteOpen,bzlib.c,916,"(bzerror: int *, f: FILE *, blockSize100k: int, verbosity: int, workFactor: int) -> BZFILE *",BZ2_bzWriteOpen,BZ2_bzWriteOpen,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzWriteOpen,,,,NONE,single-source,STUB:BZ2_bzWriteOpen,"STUB: C bzlib.c:916 -> Rust src/bzlib.rs:297. Body constant `None`; params (bzerror, f, blockSize100k, verbosity, workFactor) match C exactly. Searched for ferror/BZ_IO_ERROR/BZ_SETERR/initialisedOk = True/BZ2_bzCompressInit call: nothing. same_name accepted as declared slot."
BZ2_bzWrite,bzlib.c,964,"(bzerror: int *, b: BZFILE *, buf: void *, len: int) -> void",BZ2_bzWrite;UChar,BZ2_bzWrite,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzWrite,BZ2_hbMakeCodeLengths,0.174,-0.245,ABSTAIN,CONFLICT,STUB:BZ2_bzWrite,"STUB: C bzlib.c:964 -> Rust src/bzlib.rs:384. Body `// Default stub: no-op` (returns ()); comment `Forward declaration for BZ2_bzWrite translated from C`; params (bzerror, b, buf, len) and void return match C `void BZ2_bzWrite(int* bzerror, BZFILE* b, void* buf, int len)`. Rejected normalized_name=BZ2_bzwrite [bzlib.rs:444]: that is the slot for C BZ2_bzwrite (bzlib.c:1492) — 3 params (b, buf, len), returns i32, doc quotes `int BZ2_bzwrite (BZFILE* b, void* buf, int len);`. Rejected tool_claim=UChar: a `pub type UChar = u8` alias, not a function. Rejected matcher_forced=BZ2_hbMakeCodeLengths [huffman.rs:19]: no-op stub declared for huffman.c BZ2_hbMakeCodeLengths."
BZ2_bzWriteClose,bzlib.c,1009,"(bzerror: int *, b: BZFILE *, abandon: int, nbytes_in: unsigned int *, nbytes_out: unsigned int *) -> void",BZ2_bzWriteClose,BZ2_bzWriteClose,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzWriteClose,bsW,0.288,0.027,bsW,CONFLICT,STUB:BZ2_bzWriteClose,"STUB: C bzlib.c:1009 -> Rust src/bzlib.rs:462. Body no-op; doc quotes the C 5-param signature (bzerror, b, abandon, nbytes_in, nbytes_out); matches. C body is a one-line forward to BZ2_bzWriteClose64; no Rust fn calls BZ2_bzWriteClose64. Rejected matcher_forced=bsW [compress.rs:25]: no-op stub for compress.c bsW (s, n, v)."
BZ2_bzWriteClose64,bzlib.c,1021,"(bzerror: int *, b: BZFILE *, abandon: int, nbytes_in_lo32: unsigned int *, nbytes_in_hi32: unsigned int *, nbytes_out_lo32: unsigned int *, nbytes_out_hi32: unsigned int *) -> void",BzFile;BZ2_bzWriteClose64;Bool;UChar;Int32,BZ2_bzWriteClose64,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzWriteClose64,,,,NONE,single-source,STUB:BZ2_bzWriteClose64,"STUB: C bzlib.c:1021 -> Rust src/bzlib.rs:419. Body no-op; doc quotes the C 7-param signature; params match. Searched for BZ_FINISH/BZ_STREAM_END/fflush/total_in_lo32: nothing. Rejected tool_claims BzFile/Bool/UChar/Int32: these are a struct and type aliases, not functions."
BZ2_bzReadOpen,bzlib.c,1087,"(bzerror: int *, f: FILE *, verbosity: int, small: int, unused: void *, nUnused: int) -> BZFILE *",BZ2_bzReadOpen,BZ2_bzReadOpen,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzReadOpen,,,,NONE,single-source,STUB:BZ2_bzReadOpen,"STUB: C bzlib.c:1087 -> Rust src/bzlib.rs:277. Body constant `None`; doc quotes `BZFILE* BZ2_bzReadOpen (int* bzerror, FILE* f, int verbosity, int small, void* unused, int nUnused)`; 6 params match. Searched for BZ_MAX_UNUSED/5000 copy loop/bufN/BZ2_bzDecompressInit call: only the BzFile struct has buf[5000]. same_name accepted as declared slot."
BZ2_bzReadClose,bzlib.c,1143,"(bzerror: int *, b: BZFILE *) -> void",bz2_bz_read_close,bz2_bz_read_close,CLAIMED,yes,Fixed_5_Compile_Failed,,BZ2_bzCompress,0.178,-0.266,ABSTAIN,CONFLICT,STUB:bz2_bz_read_close,"STUB: C bzlib.c:1143 -> Rust src/bzlib.rs:291. Body no-op; doc `Stub translation of BZ2_bzReadClose from C to Rust`; params (bzerror, b) match. Searched for BZ2_bzDecompressEnd call/initialisedOk check/free(b): nothing. Rejected matcher_forced=BZ2_bzCompress [bzlib.rs:376]: `0` stub declared for BZ2_bzCompress (strm, action)."
BZ2_bzRead,bzlib.c,1161,"(bzerror: int *, b: BZFILE *, buf: void *, len: int) -> int",bz2_bz_read,bz2_bz_read,CLAIMED,yes,Fixed_5_Compile_Failed,,fallback_q_sort3,0.177,-0.237,ABSTAIN,CONFLICT,STUB:bz2_bz_read,"STUB: C bzlib.c:1161 -> Rust src/bzlib.rs:332. Body `0`; doc quotes `int BZ2_bzRead ( int* bzerror, BZFILE* b, void* buf, int len )`; 4 params (bzerror, b, buf, len) -> Int32 match. Rejected normalized_name=bz2_bzread [bzlib.rs:358]: 3-param (b, buf, len) slot for C BZ2_bzread (bzlib.c:1478). Rejected matcher_forced=fallback_q_sort3 [blocksort.rs:384]: empty stub for blocksort.c fallbackQSort3. Searched for fread/BZ_UNEXPECTED_EOF/myfeof call: none."
BZ2_bzReadGetUnused,bzlib.c,1221,"(bzerror: int *, b: BZFILE *, unused: void **, nUnused: int *) -> void",bz2_bz_read_get_unused,bz2_bz_read_get_unused,CLAIMED,yes,Fixed_5_Compile_Failed,,BZ2_bzCompressInit,0.324,-0.11,ABSTAIN,CONFLICT,STUB:bz2_bz_read_get_unused,"STUB: C bzlib.c:1221 -> Rust src/bzlib.rs:231. Body `// Stub: no implementation`; params (bzerror, b, unused, n_unused) match C. Searched for avail_in/next_in/BZ_SEQUENCE_ERROR: nothing. Rejected matcher_forced=BZ2_bzCompressInit [bzlib.rs:258]: `0` stub declared (doc) for BZ2_bzCompressInit."
BZ2_bzBuffToBuffCompress,bzlib.c,1247,"(dest: char *, destLen: unsigned int *, source: char *, sourceLen: unsigned int, blockSize100k: int, verbosity: int, workFactor: int) -> int",BZ2_bzBuffToBuffCompress,BZ2_bzBuffToBuffCompress,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzBuffToBuffCompress,main_sort,0.108,-0.286,ABSTAIN,CONFLICT,STUB:BZ2_bzBuffToBuffCompress,"STUB: C bzlib.c:1247 -> Rust src/bzlib.rs:431. Body `0`; 7 params (dest, dest_len, source, source_len, blockSize100k, verbosity, workFactor) match C. Searched for BZ_OUTBUFF_FULL/BZ_FINISH/BZ2_bzCompressInit call: none. Rejected matcher_forced=main_sort [blocksort.rs:436]: no-op stub declared for blocksort.c mainSort."
BZ2_bzBuffToBuffDecompress,bzlib.c,1299,"(dest: char *, destLen: unsigned int *, source: char *, sourceLen: unsigned int, small: int, verbosity: int) -> int",BZ2_bzBuffToBuffDecompress,BZ2_bzBuffToBuffDecompress,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzBuffToBuffDecompress,BZ2_bzBuffToBuffDecompress,0.129,-0.285,ABSTAIN,unanimous,STUB:BZ2_bzBuffToBuffDecompress,"STUB: C bzlib.c:1299 -> Rust src/bzlib.rs:340. Body `0`; 6 params (dest, dest_len, source, source_len, small, verbosity) match C. Searched for BZ_UNEXPECTED_EOF/BZ2_bzDecompressInit call: none. same_name accepted as declared slot."
BZ2_bzlibVersion,bzlib.c,1366,() -> const char *,BZ2_bzlibVersion,BZ2_bzlibVersion,CLAIMED,yes,No_Fix_Compile_Success,BZ2_bzlibVersion,BZ2_bzlibVersion,0.535,0.321,BZ2_bzlibVersion,unanimous,BZ2_bzlibVersion,"IMPL: C bzlib.c:1366 -> Rust src/bzlib.rs:90. Returns Some(""1.0.8, 13-Jul-2019"") which is exactly BZ_VERSION from bzlib_private.h:39. Also called from BZ2_bz__AssertH__fail as in C. same_name confirmed."
bzopen_or_bzdopen,bzlib.c,1383,"(path: const char *, fd: int, mode: const char *, open_mode: int) -> BZFILE *",bzopen_or_bzdopen,bzopen_or_bzdopen,CLAIMED,yes,Fixed_5_Compile_Failed,bzopen_or_bzdopen,bzopen_or_bzdopen,0.17,-0.227,ABSTAIN,unanimous,STUB:bzopen_or_bzdopen,"STUB: C bzlib.c:1383 -> Rust src/bzlib.rs:315. Body constant `None`; doc quotes `static BZFILE * bzopen_or_bzdopen ( const char *path, int fd, const char *mode, int open_mode)`; 4 params match. Searched for 'r'/'w'/'b'/'s' mode parsing, fopen/fdopen, ""rb""/""wb"", BZ2_bzWriteOpen/BZ2_bzReadOpen call: nothing. same_name accepted as declared slot."
BZ2_bzopen,bzlib.c,1460,"(path: const char *, mode: const char *) -> BZFILE *",BZ2_bzopen,BZ2_bzopen,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_bzopen,BZ2_bzopen,0.185,-0.214,ABSTAIN,unanimous,STUB:BZ2_bzopen,"STUB: C bzlib.c:1460 (`return bzopen_or_bzdopen(path,-1,mode,0)`) -> Rust src/bzlib.rs:351. Body constant `None`; no call to bzopen_or_bzdopen anywhere in crate; params (path, mode) match. same_name accepted as declared slot."
