c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
url_get_hostname,,,(url: char *) -> char *,url_get_hostname,url_get_hostname,CLAIMED,yes,No_Fix_Compile_Success,url_get_hostname,url_get_pathname,0.383,-0.09,ABSTAIN,CONFLICT,url_get_hostname,"url.h:370 -> src/common/url_mod.rs:749: l=3 (751), protocol=url_get_protocol (756), tmp_protocol=strdup (761), auth=url_get_auth(url) (763), `if protocol.is_none() return None` (765), l += strlen(auth)+1 (773), l += strlen(protocol) (778), then url_is_ssh ? get_part(url,""%[^:]"",l) : get_part(url,""%[^/]"",l) (783-789) — the exact C computation of url.h:371-388 (protocol/auth/tmp_protocol/hostname degraded by passing None to url_get_protocol/strdup/url_is_ssh, but the get_part formats ""%[^:]""/""%[^/]"" and the l arithmetic are C's). Matcher forced proposal url_get_pathname is WRONG: Rust url_get_pathname (922) calls url_get_path and cuts at '?' (the C url_get_pathname), it never computes l or calls get_part/url_is_ssh."
url_get_path,,,(url: char *) -> char *,url_get_path,url_get_path,CLAIMED,yes,No_Fix_Compile_Success,url_get_path,url_get_hostname,0.451,-0.022,ABSTAIN,CONFLICT,STUB:url_get_path,"url.h:421 (url_get_protocol + url_get_auth + url_get_hostname, l = 3+strlen(protocol)+strlen(hostname)+(auth?strlen(auth)+1), get_part(url, is_ssh?"":%s"":""/%s"", l), sprintf(path, is_ssh?""%s"":""/%s"", tmp_path)) -> src/common/url_mod.rs:830-872: body is `let url_ref = url?;` + an empty block + `return None` — no call to url_get_protocol/url_get_auth/url_get_hostname/url_is_ssh/get_part, no "":%s""/""/%s"" format, no l arithmetic; the LLM's own comments (856-869) say it gave up and 'conservatively return None'. Constant body => signature-only placeholder => STUB under the labels.json definition, even though Verfi_Tag is No_Fix_Compile_Success (LLM-authored, not a Fixed_5 revert) — REVIEWER: flip to plain `url_get_path` if STUB is meant to cover only tool reverts. Matcher forced proposal url_get_hostname is WRONG: Rust url_get_hostname (749) computes the hostname via get_part ""%[^:]""/""%[^/]"" and is the counterpart of C url_get_hostname; the confusion is understandable (C url_get_path calls the same protocol/auth/hostname/is_ssh/get_part chain that Rust url_get_hostname exhibits) but it is still a different C function."
url_get_pathname,,,(url: char *) -> char *,url_get_pathname,url_get_pathname,CLAIMED,yes,No_Fix_Compile_Success,url_get_pathname,url_get_path,0.277,-0.121,ABSTAIN,CONFLICT,url_get_pathname,"url.h:406 -> src/common/url_mod.rs:922: path = url_get_path(url)? (924), then take bytes up to the first '?' (934-935) = the C sscanf(path, ""%[^?]"", pathname) at url.h:413, NUL-terminate and return. Matcher forced proposal url_get_path is WRONG: Rust url_get_path (830) is a constant-None body that performs no '?' cut and no computation at all; the only Rust function that derives pathname from path by cutting at '?' is url_get_pathname."
url_get_port,,,(url: char *) -> char *,url_get_port,url_get_port,CLAIMED,yes,No_Fix_Compile_Success,url_get_port,url_get_port,0.426,0.007,ABSTAIN,unanimous,url_get_port,"url.h:513 -> src/common/url_mod.rs:875: hostname = url_get_hostname(url) (881), host = url_get_host(url) (883), None if hostname is None (888), tmp_hostname = strff(hostname, strlen(host)+1) (901-905) matching C line 519 (the +1 for ':'), then copy up to NUL emulating sscanf(tmp_hostname, ""%s"", port) (911-918)."
url_get_protocol,,,(url: char *) -> char *,url_get_protocol,url_get_protocol,CLAIMED,yes,No_Fix_Compile_Success,url_get_protocol,url_get_protocol,0.418,0.032,url_get_protocol,unanimous,url_get_protocol,"url.h:352 -> src/common/url_mod.rs:373: cut the url before the first ':' (382-383, approximating sscanf(url, ""%[^://]"", protocol) which also stops at '/'), truncate to 15 chars mirroring the URL_PROTOCOL_MAX_LENGTH=16 buffer (386-388), then gate on url_is_protocol and return None otherwise (390-394) = C lines 355-357."
url_get_query,,,(url: char *) -> char *,url_get_query,url_get_query,CLAIMED,yes,No_Fix_Compile_Success,url_get_query,url_get_query,0.361,-0.068,ABSTAIN,unanimous,url_get_query,"url.h:476 -> src/common/url_mod.rs:1037: search = url_get_search(url) (1040), return None if search is None (1042), query = 1-byte [0] buffer (1048), return query — same call chain and null check as C lines 477-482; the sscanf(search, ""?%s"", query) at url.h:480 is deliberately omitted (doc comment 1028-1036), so query is always empty."
url_get_search,,,(url: char *) -> char *,url_get_search,url_get_search,CLAIMED,yes,No_Fix_Compile_Success,url_get_search,url_get_search,0.358,-0.045,ABSTAIN,unanimous,url_get_search,"url.h:456 -> src/common/url_mod.rs:944: path = url_get_path (946), pathname = url_get_pathname (948), search=[0] (951), None if path is None (953), tmp_path = strff(path, strlen(pathname)) (971-978) = C line 463, copy up to the first '#' emulating sscanf(tmp_path, ""%[^#]"", search) (990-1003), strrwd(tmp_path, strlen(pathname)) with result discarded (1012-1015) = C line 467, return search. Only Rust function with the '#' cut."
url_inspect,,,(url: char *) -> void,url_inspect,url_inspect,CLAIMED,yes,Fixed_1_Compile_Success,url_inspect,url_inspect,0.528,0.099,url_inspect,unanimous,url_inspect,"url.h:528 `url_data_inspect(url_parse(url))` -> src/common/url_mod.rs:793: copies the input into an owned Vec (809), url_parse(owned_buf.as_deref_mut()) (810-813), url_data_inspect(parsed.as_ref()) (814)."
url_is_protocol,,,(str: char *) -> _Bool,url_is_protocol,url_is_protocol,CLAIMED,yes,No_Fix_Compile_Success,url_is_protocol,url_is_protocol,0.322,-0.058,ABSTAIN,unanimous,url_is_protocol,"url.h:326 -> src/common/url_mod.rs:306: linear scan of the URL_SCHEMES table (Rust const [&str; 177] at url_mod.rs:37, same list aaa..doi as url.h:54-74) with equality test, true on first hit, false otherwise (311-316); None -> false."
url_is_ssh,,,(str: char *) -> _Bool,url_is_ssh;SSH;GIT,url_is_ssh,CLAIMED,yes,No_Fix_Compile_Success,url_is_ssh,url_is_ssh,0.504,0.091,url_is_ssh,unanimous,url_is_ssh,"url.h:339 -> src/common/url_mod.rs:231: dup = strdup(str) (233), then strcmp against ""ssh"" and ""git"" via the SSH/GIT i8 constants (245-252), true if either matches, false otherwise. Tool claim lists 'url_is_ssh;SSH;GIT': SSH and GIT are the local const arrays inside this fn, not separate functions."
url_parse,,,(url: char *) -> url_data_t *,url_parse,url_parse,CLAIMED,yes,Fixed_3_Compile_Success,url_parse,url_parse,0.437,0.029,url_parse,unanimous,url_parse,"url.h:227 -> src/common/url_mod.rs:396: href = url (405-446), tmp_url = strdup(url) (461-476), protocol = url_get_protocol(tmp_url) with None on failure (481-495), protocol_len = strlen+3 (497), is_ssh = url_is_ssh(protocol) (502-508), if '@' in tmp_url: auth = get_part(tmp_url, ""%[^@]"", protocol_len) and auth_len = strlen(auth)+1 (524-545), hostname = get_part(tmp_url, is_ssh?""%[^:]"":""%[^/]"", protocol_len+auth_len) (553-566), host = hostname split at ':' (581-585), tmp_path = get_part(tmp_url, is_ssh?"":%s"":""/%s"", protocol_len+auth_len+hostname_len) (593-614), path = is_ssh ? tmp_path : ""/""+tmp_path (627-631), pathname = path cut at '?' or '#' (639-648), search = path[pathname_len..] cut at '#' (659-674), query = search minus leading '?' (683-687), hash = path[pathname_len+search_len..] (693-700), port = hostname[host_len+1..] (705-711). Every step of C lines 228-322 is present in order."
