c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
bz_config_ok,bzlib.c,91,() -> int,,,NO_MAP,,,bz_config_ok,bz_config_ok,0.352,0.084,bz_config_ok,single-source,bz_config_ok,"bzlib.c:91-97 bz_config_ok(): return 0 unless sizeof(int)==4, sizeof(short)==2, sizeof(char)==1 -> assembled_unidiomatic.rs:1609-1618 the same three size_of checks on libc::c_int / c_short / c_char, returning 0/1. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/bz_config_ok.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq bz_config_ok: correct. Forced matcher bz_config_ok (score 0.352, conf 0.084): correct. Deploy matcher bz_config_ok: correct."
default_bzalloc,bzlib.c,102,"(opaque: void *, items: Int32, size: Int32) -> void *",,,NO_MAP,,,default_bzalloc,default_bzalloc,0.296,-0.12,ABSTAIN,single-source,default_bzalloc,"bzlib.c:102-106 default_bzalloc(opaque, items, size): malloc(items * size) -> assembled_unidiomatic.rs:1653-1655 malloc of items*size (multiplied as size_t with wrapping_mul instead of C's int multiply; same value for every in-range product). Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/default_bzalloc.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq default_bzalloc: correct. Forced matcher default_bzalloc (score 0.296, conf -0.12): correct. Deploy matcher ABSTAIN: coverage loss only."
default_bzfree,bzlib.c,109,"(opaque: void *, addr: void *) -> void",,,NO_MAP,,,default_bzfree,default_bzfree,0.36,0.074,default_bzfree,single-source,default_bzfree,"bzlib.c:109-112 default_bzfree(opaque, addr): if addr != NULL free(addr) -> assembled_unidiomatic.rs:1661-1663 same null-guarded libc::free. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/default_bzfree.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq default_bzfree: correct. Forced matcher default_bzfree (score 0.36, conf 0.074): correct. Deploy matcher default_bzfree: correct."
prepare_new_block,bzlib.c,117,(s: EState *) -> void,,,NO_MAP,,,prepare_new_block,prepare_new_block,0.422,0.047,prepare_new_block,single-source,prepare_new_block,"bzlib.c:117-126 prepare_new_block(s): nblock = numZ = state_out_pos = 0, BZ_INITIALISE_CRC(blockCRC) (= 0xffffffff), inUse[0..256) = False, blockNo++ -> assembled_unidiomatic.rs:1699-1708 the same five assignments, the CRC macro expanded to 0xffffffff, the 256-iteration clear loop, blockNo += 1. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/prepare_new_block.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq prepare_new_block: correct. Forced matcher prepare_new_block (score 0.422, conf 0.047): correct. Deploy matcher prepare_new_block: correct."
init_RL,bzlib.c,131,(s: EState *) -> void,,,NO_MAP,,,init_RL,init_RL,0.422,0.039,init_RL,single-source,init_RL,"bzlib.c:131-135 init_RL(s): state_in_ch = 256, state_in_len = 0 -> assembled_unidiomatic.rs:1670-1671 same two stores (wrapped in an added `!s.is_null()` guard). Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/init_RL.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq init_RL: correct. Forced matcher init_RL (score 0.422, conf 0.039): correct. Deploy matcher init_RL: correct."
isempty_RL,bzlib.c,139,(s: EState *) -> Bool,,,NO_MAP,,,isempty_RL,isempty_RL,0.288,-0.071,ABSTAIN,single-source,isempty_RL,"bzlib.c:139-144 isempty_RL(s): False if state_in_ch < 256 && state_in_len > 0 else True -> assembled_unidiomatic.rs:1678-1682 same predicate returning 0/1 (plus an added null guard). Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/isempty_RL.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq isempty_RL: correct. Forced matcher isempty_RL (score 0.288, conf -0.071): correct. Deploy matcher ABSTAIN: coverage loss only."
BZ2_bzCompressInit,bzlib.c,148,"(strm: bz_stream *, blockSize100k: int, verbosity: int, workFactor: int) -> int",,,NO_MAP,,,BZ2_bzCompressInit,BZ2_bzCompressInit,0.361,0.055,BZ2_bzCompressInit,single-source,BZ2_bzCompressInit,"bzlib.c:148-211 BZ2_bzCompressInit(strm, blockSize100k, verbosity, workFactor): bz_config_ok check, parameter validation (1..9, 0..250), workFactor 0 -> 30, default bzalloc/bzfree, BZALLOC EState + arr1 (n), arr2 (n+BZ_N_OVERSHOOT), ftab (65537) with all-or-nothing cleanup, field initialisation (blockNo, state, mode, combinedCRC, blockSize100k, nblockMAX = 100000*bs-19, verbosity, workFactor, block/mtfv/zbits/ptr aliases), strm totals = 0, init_RL, prepare_new_block, BZ_OK -> assembled_unidiomatic.rs:2353-2426 every step in the same order: config check, the same range checks, `workFactor = 30`, Some(default_bzalloc)/Some(default_bzfree) defaults, BZALLOC/BZFREE as nested call_bzalloc/call_bzfree helpers, the three arrays with BZ_N_OVERSHOOT = 2+12+18+2 (rs:2328-2331), the same cleanup block, the same field assignments, init_RL + prepare_new_block. Genuine. Log-extracted last attempt (run2_extracted_rust/BZ2_bzCompressInit__attempt6.rs, attempt 6 of 6, unidiomatic_failure_info.json status failure, SACTOR verdict `Rust code failed to compile`). All 6 attempts died on E0255 `the name size_t is defined multiple times` (SACTOR's scaffold `use libc::size_t` collides with the typedef the LLM was asked to reproduce); a conflict between SACTOR's harness scaffold and the translated text, not a defect of this body (RUN.md, run2_result/bzlib.c__c5155842/unidiomatic_failure_info.json). Name-eq BZ2_bzCompressInit: correct. Forced matcher BZ2_bzCompressInit (score 0.361, conf 0.055): correct. Deploy matcher BZ2_bzCompressInit: correct."
add_pair_to_block,bzlib.c,216,(s: EState *) -> void,,,NO_MAP,,,add_pair_to_block,add_pair_to_block,0.367,-0.016,ABSTAIN,single-source,add_pair_to_block,"bzlib.c:216-247 add_pair_to_block(s): BZ_UPDATE_CRC state_in_len times with ch, inUse[state_in_ch] = True, switch on state_in_len writing 1/2/3 copies of ch or (default) 4 copies + the (len-4) count byte with inUse[len-4] = True -> assembled_unidiomatic.rs:1555-1558 the CRC macro as a nested helper over BZ2_crc32Table, rs:1562-1565 the CRC loop, rs:1566 inUse, rs:1567-1600 the same 4-arm match with identical block writes. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/add_pair_to_block.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq add_pair_to_block: correct. Forced matcher add_pair_to_block (score 0.367, conf -0.016): correct. Deploy matcher ABSTAIN: coverage loss only."
flush_RL,bzlib.c,252,(s: EState *) -> void,,,NO_MAP,,,flush_RL,flush_RL,0.389,0.054,flush_RL,single-source,flush_RL,"bzlib.c:252-256 flush_RL(s): if state_in_ch < 256 add_pair_to_block(s); init_RL(s) -> assembled_unidiomatic.rs:2504-2507 the same guarded add_pair_to_block call and unconditional init_RL (plus an added null guard). Genuine. Log-extracted single attempt (run2_extracted_rust/flush_RL.rs, attempt 1 of 1, unidiomatic_failure_info.json status untranslated): the Rust compiled, but SACTOR's per-function link step failed with `undefined reference to add_pair_to_block and init_RL` (add_pair_to_block/init_RL are `static` in the C file and not exported from the C objects SACTOR links against; run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt), which aborted the TU. Tool-side link failure, not a defect of this body. Name-eq flush_RL: correct. Forced matcher flush_RL (score 0.389, conf 0.054): correct. Deploy matcher flush_RL: correct."
copy_input_until_stop,bzlib.c,289,(s: EState *) -> Bool,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"bzlib.c:289-329 copy_input_until_stop(s): pull bytes from strm->next_in into the block through ADD_CHAR_TO_BLOCK until the block is full / input exhausted / avail_in_expect reaches 0, maintaining total_in. Never attempted: bzlib.c (unit 21 of 41 in SACTOR's dependency order, run2.log:1359 `Function order`): SACTOR aborted the bzlib.c TU at unit 20 (flush_RL), whose compiled Rust failed SACTOR's per-function harness link on the `static` C helpers add_pair_to_block / init_RL (run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt; batch_summary.json bzlib.c failed). No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
copy_output_until_stop,bzlib.c,334,(s: EState *) -> Bool,,,NO_MAP,,,copy_output_until_stop,copy_output_until_stop,0.341,0.0,ABSTAIN,single-source,copy_output_until_stop,"bzlib.c:334-356 copy_output_until_stop(s): loop until avail_out == 0 or state_out_pos >= numZ, copying zbits[state_out_pos] to *next_out, bumping state_out_pos/next_out, decrementing avail_out, incrementing total_out_lo32 with hi32 carry; return progress flag -> assembled_unidiomatic.rs:1625-1643 same loop, same two break conditions, same counters (wrapping arithmetic), returns progress_out. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/copy_output_until_stop.rs, unidiomatic_failure_info.json status success, 2 attempts (earlier attempts rejected by rustc in SACTOR's embedding crate, final attempt: compiled, linked, 4/4 driver samples passed)). Name-eq copy_output_until_stop: correct. Forced matcher copy_output_until_stop (score 0.341, conf 0.0): correct. Deploy matcher ABSTAIN: coverage loss only."
handle_compress,bzlib.c,361,(strm: bz_stream *) -> Bool,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"bzlib.c:361-403 handle_compress(strm): the compressor state machine alternating BZ_S_OUTPUT (copy_output_until_stop, prepare_new_block) and BZ_S_INPUT (copy_input_until_stop, flush_RL, BZ2_compressBlock). Never attempted: bzlib.c (unit 25 of 41 in SACTOR's dependency order, run2.log:1359 `Function order`): SACTOR aborted the bzlib.c TU at unit 20 (flush_RL), whose compiled Rust failed SACTOR's per-function harness link on the `static` C helpers add_pair_to_block / init_RL (run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt; batch_summary.json bzlib.c failed). No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
BZ2_bzCompress,bzlib.c,407,"(strm: bz_stream *, action: int) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"bzlib.c:407-464 BZ2_bzCompress(strm, action): public compress call; validates state/mode and dispatches BZ_RUN / BZ_FLUSH / BZ_FINISH to handle_compress, returning BZ_RUN_OK / FLUSH_OK / FINISH_OK / STREAM_END. Never attempted: bzlib.c (unit 29 of 41 in SACTOR's dependency order, run2.log:1359 `Function order`): SACTOR aborted the bzlib.c TU at unit 20 (flush_RL), whose compiled Rust failed SACTOR's per-function harness link on the `static` C helpers add_pair_to_block / init_RL (run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt; batch_summary.json bzlib.c failed). No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
BZ2_bzCompressEnd,bzlib.c,468,(strm: bz_stream *) -> int,,,NO_MAP,,,BZ2_bzCompressEnd,BZ2_bzCompressEnd,0.222,-0.08,ABSTAIN,single-source,BZ2_bzCompressEnd,"bzlib.c:468-484 BZ2_bzCompressEnd(strm): BZ_PARAM_ERROR on NULL strm / NULL state / s->strm != strm; BZFREE arr1, arr2, ftab (if non-NULL) and the state; strm->state = NULL; BZ_OK -> assembled_unidiomatic.rs:1406-1415 the three guards, rs:1416-1423 BZFREE as a nested helper calling strm->bzfree(opaque, p) on non-null p, rs:1424-1431 the four frees and the null store, BZ_OK (-2/0 constants as in C). Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/BZ2_bzCompressEnd.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq BZ2_bzCompressEnd: correct. Forced matcher BZ2_bzCompressEnd (score 0.222, conf -0.08): correct. Deploy matcher ABSTAIN: coverage loss only."
BZ2_bzDecompressInit,bzlib.c,492,"(strm: bz_stream *, verbosity: int, small: int) -> int",,,NO_MAP,,,,BZ2_bzDecompressEnd,0.225,-0.054,ABSTAIN,single-source,NONE,"bzlib.c:492-528 BZ2_bzDecompressInit(strm, verbosity, small): config/param checks, default allocators, BZALLOC a DState and initialise it (state = BZ_X_MAGIC_1, bsLive/bsBuff = 0, tt/ll16/ll4 = NULL, ...). Never attempted: bzlib.c (unit 22 of 41 in SACTOR's dependency order, run2.log:1359 `Function order`): SACTOR aborted the bzlib.c TU at unit 20 (flush_RL), whose compiled Rust failed SACTOR's per-function harness link on the `static` C helpers add_pair_to_block / init_RL (run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt; batch_summary.json bzlib.c failed). No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher proposed BZ2_bzDecompressEnd (score 0.225, conf -0.054): WRONG, the row has no Rust (the Rust BZ2_bzDecompressEnd is the translation of the C BZ2_bzDecompressEnd). Deploy matcher ABSTAIN: abstained (correct outcome)."
unRLE_obuf_to_output_FAST,bzlib.c,536,(s: DState *) -> Bool,,,NO_MAP,,,unRLE_obuf_to_output_FAST,,,,NONE,single-source,unRLE_obuf_to_output_FAST,"bzlib.c:536-682 unRLE_obuf_to_output_FAST(s): the run-length expander. Randomised branch (C :540-587): drain the current run into next_out with CRC update, then fetch the next byte with BZ_GET_FAST / BZ_RAND_UPD_MASK / BZ_RAND_MASK, growing the run to 1,2,3 then k1+4; non-randomised branch (C :589-680): the same logic on local copies (c_calculatedBlockCRC, c_state_out_ch, ..., cs_next_out, cs_avail_out), goto return_notr, then total_out and state save-back -> assembled_unidiomatic.rs:1719-1762 the macros as nested helpers (bz_update_crc, bz_get_fast, bz_rand_upd_mask, bz_get_fast_c), rs:1764-1852 the randomised branch, rs:1853-1981 the non-randomised branch with the same local copies, `'main_loop` break in place of the goto, and the same save-back block (rs:1965-1980). Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/unRLE_obuf_to_output_FAST.rs, unidiomatic_failure_info.json status success, 2 attempts (earlier attempts rejected by rustc in SACTOR's embedding crate, final attempt: compiled, linked, 4/4 driver samples passed)). Name-eq unRLE_obuf_to_output_FAST: correct. Forced matcher made no assignment for this row (its Rust target unRLE_obuf_to_output_FAST was consumed by the C row unRLE_obuf_to_output_SMALL): a miss, not a wrong pair. Deploy matcher NONE (no proposal): a miss."
BZ2_indexIntoF,bzlib.c,687,"(indx: Int32, cftab: Int32 *) -> Int32",,,NO_MAP,,,BZ2_indexIntoF,BZ2_indexIntoF,0.367,-0.034,ABSTAIN,single-source,BZ2_indexIntoF,"bzlib.c:687-698 BZ2_indexIntoF(indx, cftab): binary search nb=0, na=256, mid=(nb+na)>>1, until na-nb == 1, return nb -> assembled_unidiomatic.rs:1535-1549 identical do-while search. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/BZ2_indexIntoF.rs, unidiomatic_failure_info.json status success, 2 attempts (earlier attempts rejected by rustc in SACTOR's embedding crate, final attempt: compiled, linked, 4/4 driver samples passed)). Name-eq BZ2_indexIntoF: correct. Forced matcher BZ2_indexIntoF (score 0.367, conf -0.034): correct. Deploy matcher ABSTAIN: coverage loss only."
unRLE_obuf_to_output_SMALL,bzlib.c,706,(s: DState *) -> Bool,,,NO_MAP,,,,unRLE_obuf_to_output_FAST,0.29,0.007,ABSTAIN,single-source,NONE,"bzlib.c:706-804 unRLE_obuf_to_output_SMALL(s): the small-memory run-length expander using BZ_GET_SMALL (ll16/ll4 tables) in both randomised and plain branches. Never attempted: bzlib.c (unit 23 of 41 in SACTOR's dependency order, run2.log:1359 `Function order`): SACTOR aborted the bzlib.c TU at unit 20 (flush_RL), whose compiled Rust failed SACTOR's per-function harness link on the `static` C helpers add_pair_to_block / init_RL (run2.log:20351 `Failed to link project-level harness for function flush_RL`; relink_evidence/run2__flush_RL_relink.txt; batch_summary.json bzlib.c failed). No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher proposed unRLE_obuf_to_output_FAST (score 0.29, conf 0.007): WRONG, the row has no Rust (the Rust unRLE_obuf_to_output_FAST is the translation of the C unRLE_obuf_to_output_FAST). Deploy matcher ABSTAIN: abstained (correct outcome)."
