c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
url_get_hostname,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:369-389 url_get_hostname(url): protocol + auth lengths -> get_part(url, is_ssh ? ""%[^:]"" : ""%[^/]"", l). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_hostname.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_path,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:420-453 url_get_path(url): protocol/auth/hostname lengths -> get_part(url, is_ssh ? "":%s"" : ""/%s"", l) -> sprintf(path, fmt, tmp_path). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_path.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_pathname,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:405-418 url_get_pathname(url): url_get_path -> sscanf(path, ""%[^?]"", pathname). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_pathname.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_port,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:512-525 url_get_port(url): hostname/host -> strff(hostname, strlen(host)+1) -> sscanf(""%s"", port). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_port.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_protocol,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:351-358 url_get_protocol(url): sscanf(url, ""%[^://]"", protocol) then url_is_protocol(protocol) ? protocol : NULL. Never attempted: unidiomatic_failure_info.json status blocked_by_failed_dependency — its direct dependency url_is_protocol failed 5x on the URL_SCHEMES static (E0277 *mut i8 not Sync, RUN.md); no url_get_protocol.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_query,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:475-483 url_get_query(url): url_get_search -> sscanf(search, ""?%s"", query). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_query.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_search,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:455-473 url_get_search(url): path/pathname -> strff(path, strlen(pathname)) -> sscanf(""%[^#]"", search) -> strrwd. Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_search.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_inspect,,,(url: char *) -> void,,,NO_RECORD,,,,url_is_ssh,0.366,0.04,url_is_ssh,single-source,NONE,"url.h:527-530 url_inspect(url): url_data_inspect(url_parse(url)). Never attempted (dependency url_is_protocol failed via url_parse -> url_get_protocol): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_inspect.rs in either phase. Forced AND deploy matcher proposal url_is_ssh is WRONG: url_inspect parses a URL and prints the 12-line dump; Rust url_is_ssh (assembled_idiomatic.rs:96) compares one string against ""ssh""/""git"" and returns bool, prints nothing; no Rust url_inspect exists."
url_is_protocol,,,(str: char *) -> _Bool,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:325-336 url_is_protocol(str): linear strcmp scan over the 177-entry URL_SCHEMES table. Attempted 5x and failed: unidiomatic_failure_info.json status failure, error E0277 `*mut i8 cannot be shared between threads safely` on `pub static URL_SCHEMES: [*mut c_char; 177]` (its inlined copy of the global); idiomatic_failure_info.json status untranslated (RUN.md 'Completion state'). No url_is_protocol.rs in either phase, so no Rust counterpart. This is the root failure that blocked the other 13 NONE rows. Matcher deploy NONE, no forced proposal: consistent."
url_is_ssh,,,(str: char *) -> _Bool,url_is_ssh,url_is_ssh,CLAIMED,yes,,url_is_ssh,,,,NONE,single-source,url_is_ssh,"url.h:338-349 url_is_ssh(str): str = strdup(str); return true (freeing the copy) if strcmp(str,""ssh"")==0 || strcmp(str,""git"")==0, else false (copy leaked) -> assembled_idiomatic.rs:96-102 url_is_ssh(input: &str) -> bool: `_copy = inner_strdup(input)` (calls top-level strdup, preserving the pointless copy) then `matches!(input, ""ssh"" | ""git"")`. Same predicate, same two literals. Tool map and name-eq say url_is_ssh: correct. The matcher gave this row no forced proposal (it spent url_is_ssh on url_inspect, see that row)."
url_parse,,,(url: char *) -> url_data_t *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:226-323 url_parse(url): malloc url_data_t, url_get_protocol, url_is_ssh, repeated get_part/sscanf/strff to fill 11 fields. Never attempted (dependency url_is_protocol failed via url_get_protocol): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_parse.rs in either phase. Only the struct url_data was translated (assembled_idiomatic.rs:12-24 UrlData), not the constructor. Matcher deploy NONE, no forced proposal: consistent."
