c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
ti_apo_start,apo.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_apo_start,,,,NONE,single-source,ti_apo_start,"C apo.c:28 `(void)options; return 1` -> Rust assembled_unidiomatic.rs:24 `1`: genuine translation, same computation (not a STUB: the C body itself ignores options and returns this constant, so the constant IS the C behaviour). Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_apo_start: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_apo,apo.c,34,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"apo.c:34. Not emitted: the apo.c TU translated only its first function ti_apo_start (assembled_unidiomatic.rs:24) and then aborted at ""Failed to link project-level harness for function ti_apo_start"" (RUN.md); ti_apo never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_aroon_start,aroon.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_aroon_start,,,,NONE,single-source,ti_aroon_start,"C aroon.c:28 `return (int)options[0]` -> Rust assembled_unidiomatic.rs:29 `*options as c_int`: genuine translation, same computation. Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_aroon_start: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_aroon,aroon.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"aroon.c:33. Not emitted: the aroon.c TU translated only its first function ti_aroon_start (assembled_unidiomatic.rs:29) and then aborted at ""Failed to link project-level harness for function ti_aroon_start"" (RUN.md); ti_aroon never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_aroonosc_start,aroonosc.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_aroonosc_start,,,,NONE,single-source,ti_aroonosc_start,"C aroonosc.c:28 `return (int)options[0]` -> Rust assembled_unidiomatic.rs:34 `*options as c_int`: genuine translation, same computation. Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_aroonosc_start: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_aroonosc,aroonosc.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"aroonosc.c:33. Not emitted: the aroonosc.c TU translated only its first function ti_aroonosc_start (assembled_unidiomatic.rs:34) and then aborted at ""Failed to link project-level harness for function ti_aroonosc_start"" (RUN.md); ti_aroonosc never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_atr_start,atr.c,30,(options: const double *) -> int,,,NO_MAP,,,,ti_var_start,0.166,-0.254,ABSTAIN,single-source,NONE,"atr.c:30. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Forced matcher proposal ti_var_start is wrong by construction (SACTOR's translation of C ti_var_start from var.c, assembled_unidiomatic.rs:329); no Rust ti_atr_start exists. Note the two C bodies are identical clones (`(int)options[0]-1`), so only provenance separates them."
ti_atr,atr.c,35,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"atr.c:35. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_atr_ref,atr.c,75,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"atr.c:75. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_atr_stream_new,atr.c,120,"(options: const double *, stream_in: ti_stream **) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"atr.c:120. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_atr_stream_run,atr.c,139,"(stream_in: ti_stream *, size: int, inputs: const double *const *, outputs: double *const *) -> int",,,NO_MAP,,,,ti_stochrsi_start,0.275,-0.104,ABSTAIN,single-source,NONE,"atr.c:139. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Forced matcher proposal ti_stochrsi_start is wrong by construction (SACTOR's translation of C ti_stochrsi_start from stochrsi.c, assembled_unidiomatic.rs:291); no Rust ti_atr_stream_run exists and ti_atr_stream_run is not a one-line start-offset function."
ti_atr_stream_free,atr.c,205,(stream: ti_stream *) -> void,,,NO_MAP,,,,ti_medprice_start,0.664,0.0,ABSTAIN,single-source,NONE,"atr.c:205. Not emitted: the atr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Forced matcher proposal ti_medprice_start is wrong by construction (SACTOR's translation of C ti_medprice_start from medprice.c, assembled_unidiomatic.rs:189); no Rust ti_atr_stream_free exists and ti_atr_stream_free is not a one-line start-offset function."
ti_avgprice_start,avgprice.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_avgprice_start,ti_nvi_start,0.559,-0.105,ABSTAIN,CONFLICT,ti_avgprice_start,"C avgprice.c:28 `(void)options; return 0` -> Rust assembled_unidiomatic.rs:39 `let _ = options; 0`: genuine translation, same computation (not a STUB: the C body itself ignores options and returns this constant, so the constant IS the C behaviour). Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_avgprice_start: correct. Forced matcher proposal ti_nvi_start is WRONG (SACTOR's translation of C ti_nvi_start from nvi.c, assembled_unidiomatic.rs:215); the C function's own translation is ti_avgprice_start at assembled_unidiomatic.rs:39. Both C bodies are `0`: body-identical clones, no signal to separate them apart from the name."
ti_avgprice,avgprice.c,34,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,ti_trix_start,0.286,-0.151,ABSTAIN,single-source,NONE,"avgprice.c:34. Not emitted: the avgprice.c TU translated only its first function ti_avgprice_start (assembled_unidiomatic.rs:39) and then aborted at ""Failed to link project-level harness for function ti_avgprice_start"" (RUN.md); ti_avgprice never reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_trix_start is wrong by construction (SACTOR's translation of C ti_trix_start from trix.c, assembled_unidiomatic.rs:312); no Rust ti_avgprice exists and ti_avgprice is not a one-line start-offset function."
ti_bbands_start,bbands.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_bbands_start,,,,NONE,single-source,ti_bbands_start,"C bbands.c:28 `return (int)options[0]-1` -> Rust assembled_unidiomatic.rs:45 `(*options as c_int) - 1`: genuine translation, same computation. Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_bbands_start: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_bbands,bbands.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"bbands.c:33. Not emitted: the bbands.c TU translated only its first function ti_bbands_start (assembled_unidiomatic.rs:45) and then aborted at ""Failed to link project-level harness for function ti_bbands_start"" (RUN.md); ti_bbands never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_bop_start,bop.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_bop_start,ti_edecay_start,0.559,-0.105,ABSTAIN,CONFLICT,ti_bop_start,"C bop.c:28 `(void)options; return 0` -> Rust assembled_unidiomatic.rs:50 `let _ = options; 0`: genuine translation, same computation (not a STUB: the C body itself ignores options and returns this constant, so the constant IS the C behaviour). Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_bop_start: correct. Forced matcher proposal ti_edecay_start is WRONG (SACTOR's translation of C ti_edecay_start from edecay.c, assembled_unidiomatic.rs:116); the C function's own translation is ti_bop_start at assembled_unidiomatic.rs:50. Both C bodies are `0`: body-identical clones, no signal to separate them apart from the name."
ti_bop,bop.c,34,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,ti_wma_start,0.292,-0.129,ABSTAIN,single-source,NONE,"bop.c:34. Not emitted: the bop.c TU translated only its first function ti_bop_start (assembled_unidiomatic.rs:50) and then aborted at ""Failed to link project-level harness for function ti_bop_start"" (RUN.md); ti_bop never reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_wma_start is wrong by construction (SACTOR's translation of C ti_wma_start from wma.c, assembled_unidiomatic.rs:389); no Rust ti_bop exists and ti_bop is not a one-line start-offset function."
ti_buffer_new,buffer.c,29,(size: int) -> ti_buffer *,,,NO_MAP,,,ti_buffer_new,,,,NONE,single-source,ti_buffer_new,"C buffer.c:29 `s = sizeof(ti_buffer)+(size-1)*sizeof(TI_REAL); ret = malloc((unsigned)s); ret->size=size; pushes=index=0; sum=0; return ret` -> Rust assembled_unidiomatic.rs:56 `s = size_of::<ti_buffer>() + (size-1)*size_of::<c_double>(); ret = libc::malloc(s as size_t) as *mut ti_buffer; (*ret).size=size; pushes=0; index=0; sum=0.0; ret`: genuine translation, same computation. Faithful field-by-field port incl. the flexible-array size formula; `ti_buffer` type is not defined in the artifact (non-building), which is irrelevant to structural correspondence. malloc((unsigned int)s) vs malloc(s as size_t): same for the positive sizes tulip passes. Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_buffer_new: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_buffer_free,buffer.c,40,(buffer: ti_buffer *) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"buffer.c:40. Not emitted: the utils/buffer.c TU translated only ti_buffer_new and then aborted at the harness link failure (RUN.md); ti_buffer_free never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_config_default,candles.c,69,() -> const tc_config *,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:69. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_find_candle,candles.c,118,(name: const char *) -> const tc_candle_info *,,,NO_MAP,,,,ti_max_start,0.41,-0.068,ABSTAIN,single-source,NONE,"candles.c:118. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_max_start is wrong by construction (SACTOR's translation of C ti_max_start from max.c, assembled_unidiomatic.rs:179); no Rust tc_find_candle exists and tc_find_candle is not a one-line start-offset function."
tc_get_info,candles.c,139,(pattern: tc_set) -> const tc_candle_info *,,,NO_MAP,,,,ti_kama_start,0.42,-0.044,ABSTAIN,single-source,NONE,"candles.c:139. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_kama_start is wrong by construction (SACTOR's translation of C ti_kama_start from kama.c, assembled_unidiomatic.rs:146); no Rust tc_get_info exists and tc_get_info is not a one-line start-offset function."
tc_config_set_to_default,candles.c,164,(config: tc_config *) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:164. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_result_new,candles.c,169,() -> tc_result *,,,NO_MAP,,,,ti_dema_start,0.24,-0.151,ABSTAIN,single-source,NONE,"candles.c:169. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_dema_start is wrong by construction (SACTOR's translation of C ti_dema_start from dema.c, assembled_unidiomatic.rs:104); no Rust tc_result_new exists and tc_result_new is not a one-line start-offset function."
tc_result_reset,candles.c,178,(result: tc_result *) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:178. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_result_free,candles.c,185,(result: tc_result *) -> void,,,NO_MAP,,,,ti_tema_start,0.356,-0.035,ABSTAIN,single-source,NONE,"candles.c:185. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_tema_start is wrong by construction (SACTOR's translation of C ti_tema_start from tema.c, assembled_unidiomatic.rs:301); no Rust tc_result_free exists and tc_result_free is not a one-line start-offset function."
tc_result_count,candles.c,192,(result: const tc_result *) -> int,,,NO_MAP,,,,ti_cmo_start,0.617,-0.026,ABSTAIN,single-source,NONE,"candles.c:192. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_cmo_start is wrong by construction (SACTOR's translation of C ti_cmo_start from cmo.c, assembled_unidiomatic.rs:75); no Rust tc_result_count exists and tc_result_count is not a one-line start-offset function."
tc_result_pattern_count,candles.c,196,(result: const tc_result *) -> int,,,NO_MAP,,,,ti_roc_start,0.617,-0.026,ABSTAIN,single-source,NONE,"candles.c:196. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_roc_start is wrong by construction (SACTOR's translation of C ti_roc_start from roc.c, assembled_unidiomatic.rs:250); no Rust tc_result_pattern_count exists and tc_result_pattern_count is not a one-line start-offset function."
tc_result_get,candles.c,201,"(result: const tc_result *, index: int) -> tc_hit",,,NO_MAP,,,,ti_macd_start,0.214,-0.208,ABSTAIN,single-source,NONE,"candles.c:201. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_macd_start is wrong by construction (SACTOR's translation of C ti_macd_start from macd.c, assembled_unidiomatic.rs:162); no Rust tc_result_get exists and tc_result_get is not a one-line start-offset function."
tc_result_at,candles.c,211,"(result: const tc_result *, index: int) -> tc_set",,,NO_MAP,,,,ti_bbands_start,0.354,-0.066,ABSTAIN,single-source,NONE,"candles.c:211. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_bbands_start is wrong by construction (SACTOR's translation of C ti_bbands_start from bbands.c, assembled_unidiomatic.rs:45); no Rust tc_result_at exists and tc_result_at is not a one-line start-offset function."
tc_result_add,candles.c,235,"(result: tc_result *, hit: tc_hit) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:235. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_run,candles.c,363,"(patterns: tc_set, size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:363. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_abandoned_baby_bear,candles.c,538,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:538. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_abandoned_baby_bull,candles.c,548,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:548. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_big_black_candle,candles.c,558,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:558. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_big_white_candle,candles.c,568,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:568. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_black_marubozu,candles.c,578,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:578. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_doji,candles.c,588,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:588. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_dragonfly_doji,candles.c,598,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:598. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_engulfing_bear,candles.c,608,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:608. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_engulfing_bull,candles.c,618,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:618. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_evening_doji_star,candles.c,628,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:628. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_evening_star,candles.c,638,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:638. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
tc_four_price_doji,candles.c,648,"(size: int, inputs: const TC_REAL *const *, options: const tc_config *, output: tc_result *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"candles.c:648. Not emitted: the candles.c TU aborted at SACTOR's parse step, ""Struct 'tc_result' not found"" (run1_result/batch_summary.json, RUN.md), so no function of candles.c reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
